Id,saleprice
2658,117615926473.06325
2718,130461521677.60497
2414,100152563030.43561
1989,82545108140.23665
625,102101668633.60217
333,81291976968.37468
1327,88241803992.61412
858,98072450164.06416
95,110003378027.1791
1568,97460123015.31926
2482,95850273401.41907
1364,85501151194.1826
2584,100736328384.91061
818,160516505779.59903
2673,115185319916.68105
2089,90645510996.55296
1297,96839723203.49037
790,86747470019.4718
2616,120442677867.98416
720,109484972387.56084
222,87976449985.74507
557,77825914971.72275
1148,115050926555.15634
2766,83452687666.7261
534,96915636309.64302
1452,77933492879.39676
630,111433193986.55373
2648,108478164689.60928
125,85681698704.88406
1904,62529657164.98059
1670,78050245202.827
756,87528220035.22743
717,150102239064.8867
1032,93731366908.64081
852,109406097551.11873
1731,97761392274.28639
2639,111247055503.00139
2071,74776955107.62012
1267,74067914867.57451
1851,102835349488.02235
567,89578539814.41914
2439,120162776257.65741
1898,98871962172.75423
647,100493664746.20674
2256,108960455949.0039
979,93526869023.83151
1444,115433148011.00827
2485,81485832270.51903
157,81679769520.85544
88,85628168090.50177
2003,90899711884.66577
186,122856250934.00859
1425,114890268470.98021
2695,95186791952.31314
738,81918648446.08543
395,86588357141.24591
1353,115867165550.28621
1878,98977882678.52342
390,93532105258.07901
1456,118476262992.40546
1103,132359286036.87338
1387,89091889258.79672
2070,92590877182.13693
1199,107541855142.39528
2479,105366673536.67499
501,135514876239.96922
2362,76998481170.44199
1718,100635303865.56065
2188,71313510761.94377
1483,79131136617.4534
2557,70280460448.18828
437,156487642277.91928
2224,109441230033.2824
1628,95983542537.71413
397,86410878074.9744
587,118564780659.95372
971,108940735113.19514
2611,93892603760.99345
1887,70796957336.94228
2399,123023789237.14642
2148,108129776716.00055
304,82790355536.17397
1997,93186346697.21042
2817,95379557647.18343
1431,105294798680.69734
427,132046077757.3466
263,78675776608.7976
598,98755549371.53348
2895,118447958921.90744
687,102171911896.09721
1822,84858765286.88512
2191,91373748222.64136
179,91759190764.97289
1009,96325608312.1384
2010,90927277186.82748
1991,103758059089.5447
1411,107701999067.23009
1721,112750879361.76944
1144,109270831146.74854
593,108907366624.56392
575,118460177170.02327
1249,117127190409.9207
1604,81099079317.13895
1064,156676277323.16058
1923,94979978019.91838
1988,76439353377.76268
2325,100246385303.83812
114,122134356824.69374
2700,127120312265.11012
217,126374375306.35599
343,104600240523.59186
386,121158759053.18263
2005,91831580356.34288
2908,93398705360.50133
1814,109562129920.11267
2446,217110102308.82797
208,105556418236.64577
1679,90068344533.08191
822,120276720925.34181
6,108294438422.0228
1781,130811349191.27127
2397,125973490084.97241
2340,120972498171.87912
1618,101119046308.38145
2843,126945260621.59421
1061,144339226332.29785
2786,77837045847.10368
1935,85180653900.48358
1341,85308583717.19704
521,110638520246.46957
2136,85651067872.82935
996,109980172931.49394
227,96509457060.59029
135,90949554118.97534
1167,103352879062.75157
294,136232876835.02512
1776,104001119177.12254
540,91879580547.8517
1717,100635303865.56065
2303,76222260807.23041
116,102157332181.29547
127,88147889902.88896
1371,97727607606.66628
1014,105486353160.68718
1507,79655620764.06822
702,120127662840.40337
750,111599426549.44116
261,95034459624.10951
1559,71002442145.8571
577,120097023453.61098
2812,111981725504.24425
2080,107464545964.19571
1368,91340720748.06499
2376,79056647356.48917
659,73927636962.63908
1235,87658980914.04953
332,80927382381.57613
1917,81725270634.00185
2094,129251651541.90706
1460,136215188280.67082
1471,109329929402.60461
1509,88907279731.9849
1922,87499644922.61823
433,167847136144.36298
460,108392504106.3766
1116,112965976352.02266
1137,91765723282.3304
53,93512124085.79752
2354,138505111974.69116
1475,107786557750.04935
1761,271975136544.13736
842,85359796438.7175
2739,110111095053.99571
2509,88500174876.69704
1007,118485260068.35033
2610,112450721430.29301
1952,67667852634.82141
2719,129446010832.93909
2921,81175931968.8781
1966,95051697945.67386
292,107737270673.82544
1204,121044263719.4908
1829,136454140789.58633
2419,101510735320.89894
391,99712408179.37004
798,86863236145.29337
